Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,ISO,Start Year,Start Month,End Year,End Month,Total Deaths,Total Affected,"Total Damages, Adjusted ('000 US$)",CPI
2005-0014-AUS,2005,Natural,Climatological,Wildfire,Forest fire,,AUS,2005,1,2005,1,12,220,55501,72.07141045
2005-0068-AUS,2005,Natural,Meteorological,Storm,,,AUS,2005,1,2005,1,,600,37463,72.07141045
2005-0011-DEU,2005,Natural,Meteorological,Storm,Extra-tropical storm,Erwin,DEU,2005,1,2005,1,2,2,374628,72.07141045
2005-0103-USA,2005,Natural,Hydrological,Flood,Riverine flood,,USA,2005,2,2005,2,9,150,346878,72.07141045
2005-0015-USA,2005,Natural,Hydrological,Flood,Riverine flood,,USA,2005,1,2005,1,28,508,277503,72.07141045
2005-0073-VEN,2005,Natural,Hydrological,Flood,Riverine flood,,VEN,2005,2,2005,2,76,25042,69376,72.07141045
2005-0029-USA,2005,Natural,Meteorological,Storm,Convective storm,,USA,2005,1,2005,1,20,,485629,72.07141045
2005-0009-USA,2005,Technological,Technological,Transport accident,Rail,,USA,2005,1,2005,1,9,950,,72.07141045
2005-0006-MEX,2005,Technological,Technological,Transport accident,Road,,MEX,2005,1,2005,1,12,13,,72.07141045
2005-0022-TCD,2005,Technological,Technological,Transport accident,Road,,TCD,2005,1,2005,1,14,28,,72.07141045
2005-0052-USA,2005,Technological,Technological,Transport accident,Rail,,USA,2005,1,2005,1,11,180,,72.07141045
2005-0148-USA,2005,Technological,Technological,Industrial accident,Explosion,Raffinerie BP,USA,2005,3,2005,3,15,170,,72.07141045
2005-0021-VEN,2005,Natural,Hydrological,Flood,Riverine flood,,VEN,2005,1,2005,1,3,,1388,72.07141045
2005-0523-AUS,2005,Natural,Hydrological,Flood,Riverine flood,,AUS,2005,6,2005,7,3,3000,80476,72.07141045
2005-0655-DEU,2005,Natural,Meteorological,Extreme temperature ,Cold wave,,DEU,2005,11,2005,11,1,165,416254,72.07141045
2005-0241-AUS,2005,Technological,Technological,Transport accident,Air,Bi-moteur Fairchild Metroliner,AUS,2005,5,2005,5,15,,,72.07141045
2005-0697-AUS,2005,Natural,Meteorological,Storm,,,AUS,2005,12,2005,12,1,600,20813,72.07141045
2005-0591-CAN,2005,Natural,Hydrological,Flood,Riverine flood,,CAN,2005,9,2005,9,,600,,72.07141045
2005-0728-CAN,2005,Natural,Hydrological,Flood,Riverine flood,,CAN,2005,6,2005,7,4,5000,495342,72.07141045
2005-0383-CAN,2005,Natural,Climatological,Wildfire,Forest fire,,CAN,2005,7,2005,7,,,,72.07141045
2005-0460-CAN,2005,Natural,Climatological,Wildfire,Forest fire,,CAN,2005,8,2005,8,,,,72.07141045
2005-0764-CAN,2005,Technological,Technological,Miscellaneous accident,Other,Food poisoning,CAN,2005,11,2005,12,,506,,72.07141045
2005-0780-CAN,2005,Technological,Technological,Miscellaneous accident,Other,Poisoning,CAN,2005,5,2005,5,,155,,72.07141045
