Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Australia,AUS,17000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,26000,27000,28000,29000,30000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Canada,CAN,43000,45000,46000,48000,49000,50000,52000,53000,54000,55000,57000,58000,60000,62000,..,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Chad,TCD,100000,100000,100000,100000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Germany,DEU,59000,61000,64000,66000,69000,70000,72000,75000,77000,80000,82000,84000,87000,89000,91000,93000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Kenya,KEN,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Mexico,MEX,190000,200000,200000,210000,220000,230000,240000,250000,260000,270000,280000,300000,310000,320000,340000,340000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Switzerland,CHE,13000,13000,14000,14000,15000,15000,15000,16000,16000,16000,17000,17000,17000,17000,17000,17000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,United States,USA,..,..,..,..,..,960000,990000,1000000,1000000,1100000,1100000,1100000,1100000,1200000,1200000,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,"Venezuela, RB",VEN,89000,93000,98000,100000,110000,110000,110000,120000,120000,120000,120000,120000,110000,110000,100000,100000
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Australia,AUS,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Chad,TCD,5600,5300,5100,5100,4600,4300,4000,4000,3900,3700,3400,3000,3000,3000,2700,2400
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Germany,DEU,2800,2900,2800,2700,2600,2400,2200,2400,2400,2400,2400,2400,2200,2200,2300,2200
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Kenya,KEN,59000,58000,56000,56000,55000,53000,49000,46000,45000,42000,39000,35000,31000,28000,28000,27000
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Mexico,MEX,14000,14000,13000,13000,14000,14000,16000,17000,18000,17000,17000,18000,18000,18000,18000,18000
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Switzerland,CHE,1000,1000,500,500,500,500,500,500,500,500,500,500,500,200,..,..
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,United States,USA,..,..,..,..,..,34000,33000,33000,31000,32000,32000,32000,31000,30000,29000,..
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,"Venezuela, RB",VEN,7300,6600,6100,5800,5700,5600,5500,5300,5000,4700,4200,3700,3200,2700,2200,1800
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Australia,AUS,49,53,53,52,53,58,61,63,71,74,76,78,80,81,82,85
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,72,..,73,..,74,..,..
