Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Age dependency ratio (% of working-age population),SP.POP.DPND,Australia,AUS,48.55723254,48.18525523,47.89079729,47.74597554,47.77266022,47.94845437,48.51375386,49.06719336,49.64057799,50.25970006,50.92505621,51.72993235,52.5996706,53.48508824,54.31300548,55.05194054
Age dependency ratio (% of working-age population),SP.POP.DPND,Canada,CAN,44.495093,44.23699432,44.03477573,43.93390259,43.97675318,44.17994479,44.64763374,45.13918539,45.70697547,46.38054112,47.15645579,47.82631443,48.61607607,49.48187729,50.36191603,51.23928687
Age dependency ratio (% of working-age population),SP.POP.DPND,Chad,TCD,107.6489463,107.751172,107.5334949,107.0344317,106.3128635,105.4286031,104.9365543,104.2017026,103.2924455,102.261182,101.1318626,100.3706986,99.47057168,98.43954635,97.28763679,96.03567961
Age dependency ratio (% of working-age population),SP.POP.DPND,Germany,DEU,49.8912304,50.36474056,50.80302623,51.20103956,51.53198126,51.7937458,52.00975112,52.09539734,52.13209521,52.24468346,52.52163128,52.91457287,53.42641775,54.04283612,54.70890859,55.38336207
Age dependency ratio (% of working-age population),SP.POP.DPND,Kenya,KEN,85.55579475,84.90583264,84.53125258,84.25917912,83.81230362,83.06198889,82.31548336,81.23046019,79.91623537,78.52718403,77.12998333,75.67992725,74.23460039,72.77529066,71.28332878,69.77580096
Age dependency ratio (% of working-age population),SP.POP.DPND,Mexico,MEX,59.90324307,59.07172965,58.13095805,57.14931404,56.22262413,55.40225386,54.61010188,53.9484804,53.38531012,52.8612318,52.3477207,51.9253744,51.46924186,51.01299485,50.60644416,50.27056808
Age dependency ratio (% of working-age population),SP.POP.DPND,Switzerland,CHE,47.21663512,46.99629167,46.83558753,46.76024693,46.79285491,46.95015261,47.18328028,47.48968089,47.88641553,48.33788867,48.78883559,49.39077501,49.9325805,50.4532596,51.0087584,51.64421034
Age dependency ratio (% of working-age population),SP.POP.DPND,United States,USA,49.68456775,49.69711035,49.6149867,49.52142753,49.52581393,49.67051522,49.86975262,50.11544312,50.42591564,50.79303992,51.20955055,51.64616731,52.15580602,52.71067711,53.27766617,53.85248134
Age dependency ratio (% of working-age population),SP.POP.DPND,"Venezuela, RB",VEN,57.86493303,57.17817703,56.53399095,55.94644045,55.42771968,54.97948071,54.5780794,54.28875989,54.04501908,53.72505637,53.24562728,53.51737299,53.64358812,53.68924519,53.8821755,54.40527785
"Age dependency ratio, old",SP.POP.DPND.OL,Australia,AUS,19.12098563,19.15531705,19.19907657,19.29376434,19.48479413,19.79040532,20.24288155,20.7654893,21.32775898,21.8858011,22.41932738,22.97360952,23.50648633,24.03035262,24.56848227,25.13866192
"Age dependency ratio, old",SP.POP.DPND.OL,Canada,CAN,18.95421925,19.13834588,19.35344295,19.62097814,19.96659698,20.40672487,20.90334426,21.48625689,22.15015152,22.86956698,23.62395809,24.32483539,25.03064915,25.75872729,26.53571732,27.38090851
"Age dependency ratio, old",SP.POP.DPND.OL,Chad,TCD,5.598870177,5.553469525,5.495248402,5.425227623,5.341973619,5.247531645,5.18758157,5.112458498,5.034337153,4.967044907,4.917086209,4.916806779,4.920374549,4.922331176,4.915699026,4.898105565
"Age dependency ratio, old",SP.POP.DPND.OL,Germany,DEU,28.28196347,29.05525513,29.71565786,30.27576138,30.76191298,31.19778913,31.47430402,31.67384976,31.85125707,32.06906717,32.36294133,32.55353935,32.78950797,33.06061416,33.35987005,33.69868851
"Age dependency ratio, old",SP.POP.DPND.OL,Kenya,KEN,3.861197694,3.797743512,3.724661891,3.651025421,3.586838305,3.537390054,3.557498455,3.58534821,3.621483317,3.666675892,3.721571603,3.823410115,3.930916274,4.041536075,4.151611546,4.259990845
"Age dependency ratio, old",SP.POP.DPND.OL,Mexico,MEX,8.994514517,9.086742062,9.190034426,9.302202601,9.420483543,9.546642955,9.654172701,9.765558964,9.892985016,10.0503106,10.24495242,10.44231738,10.6646015,10.90870355,11.16996881,11.44776791
"Age dependency ratio, old",SP.POP.DPND.OL,Switzerland,CHE,23.23603567,23.4516935,23.71257851,24.0248367,24.39352793,24.82188777,25.16796782,25.56025659,25.98676447,26.40480498,26.77801523,27.2323055,27.63387086,28.01923762,28.44702557,28.96031955
"Age dependency ratio, old",SP.POP.DPND.OL,United States,USA,18.42873209,18.53387335,18.65978389,18.83239533,19.08345408,19.42988579,19.85813508,20.35780389,20.91679038,21.51469796,22.14144011,22.79799773,23.46146061,24.13997563,24.84570588,25.587092
"Age dependency ratio, old",SP.POP.DPND.OL,"Venezuela, RB",VEN,7.838245397,7.979338094,8.125380921,8.280008789,8.446734738,8.629012425,8.829776509,9.040210113,9.262865126,9.499759892,9.7539095,10.19914407,10.66852368,11.16857727,11.71195756,12.31026727
"Age dependency ratio, young",SP.POP.DPND.YG,Australia,AUS,29.43624691,29.02993818,28.69172073,28.45221121,28.28786609,28.15804905,28.27087231,28.30170406,28.31281901,28.37389896,28.50572883,28.75632284,29.09318427,29.45473562,29.74452321,29.91327862
"Age dependency ratio, young",SP.POP.DPND.YG,Canada,CAN,25.54087375,25.09864844,24.68133278,24.31292445,24.0101562,23.77321992,23.74428949,23.65292849,23.55682395,23.51097413,23.5324977,23.50147904,23.58542692,23.72315,23.82619871,23.85837836
"Age dependency ratio, young",SP.POP.DPND.YG,Chad,TCD,102.0500761,102.1977024,102.0382464,101.609204,100.9708899,100.1810715,99.74897275,99.08924405,98.25810837,97.29413707,96.21477637,95.45389185,94.55019713,93.51721517,92.37193776,91.13757405
"Age dependency ratio, young",SP.POP.DPND.YG,Germany,DEU,21.60926694,21.30948543,21.08736837,20.92527818,20.77006828,20.59595667,20.5354471,20.42154758,20.28083814,20.17561629,20.15868995,20.36103352,20.63690978,20.98222197,21.34903854,21.68467356
"Age dependency ratio, young",SP.POP.DPND.YG,Kenya,KEN,81.69459705,81.10808913,80.80659069,80.6081537,80.22546532,79.52459883,78.75798491,77.64511198,76.29475205,74.86050814,73.40841172,71.85651714,70.30368412,68.73375459,67.13171724,65.51581011
"Age dependency ratio, young",SP.POP.DPND.YG,Mexico,MEX,50.90872855,49.98498759,48.94092362,47.84711144,46.80214059,45.8556109,44.95592918,44.18292144,43.4923251,42.81092121,42.10276828,41.48305702,40.80464036,40.1042913,39.43647534,38.82280017
"Age dependency ratio, young",SP.POP.DPND.YG,Switzerland,CHE,23.98059946,23.54459817,23.12300902,22.73541024,22.39932698,22.12826484,22.01531247,21.92942431,21.89965106,21.93308368,22.01082036,22.15846951,22.29870964,22.43402197,22.56173283,22.68389079
