Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Maternal leave benefits (% of wages paid in covered period),SH.MMR.WAGE.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Maternal leave benefits (% of wages paid in covered period),SH.MMR.WAGE.ZS,Canada,CAN,..,..,..,..,40,..,35,..,37,..,55,..,55,..,..,..
Maternal leave benefits (% of wages paid in covered period),SH.MMR.WAGE.ZS,Chad,TCD,..,..,..,..,50,..,50,..,50,..,50,..,50,..,..,..
Maternal leave benefits (% of wages paid in covered period),SH.MMR.WAGE.ZS,Germany,DEU,..,..,..,..,100,..,100,..,100,..,100,..,100,..,..,..
Maternal leave benefits (% of wages paid in covered period),SH.MMR.WAGE.ZS,Kenya,KEN,..,..,..,..,100,..,100,..,100,..,100,..,100,..,..,..
Maternal leave benefits (% of wages paid in covered period),SH.MMR.WAGE.ZS,Mexico,MEX,..,..,..,..,100,..,100,..,100,..,100,..,100,..,..,..
Maternal leave benefits (% of wages paid in covered period),SH.MMR.WAGE.ZS,Switzerland,CHE,..,..,..,..,68,..,60,..,64,..,80,..,80,..,..,..
Maternal leave benefits (% of wages paid in covered period),SH.MMR.WAGE.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Maternal leave benefits (% of wages paid in covered period),SH.MMR.WAGE.ZS,"Venezuela, RB",VEN,..,..,..,..,100,..,100,..,100,..,100,..,100,..,..,..
Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.10.ZS,Australia,AUS,..,..,..,..,2.333399773,..,..,..,..,..,2.46650815,..,..,..,..,..
