education_key,education_id,country,iso,year,"Primary completion rate, total (% of relevant age group)","School enrollment, tertiary (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary, male (% gross)","Primary completion rate, male (% of relevant age group)","School enrollment, primary, female (% gross)","School enrollment, secondary, female (% gross)","Public spending on education, total (% of GDP)","School enrollment, primary (% gross)","School enrollment, primary, male (% gross)","Primary completion rate, female (% of relevant age group)"
215,0,Kenya,KEN,2005,86.942497253418,2.93320989608765,46.9905700683594,48.3319892883301,88.2794418334961,97.1405487060547,45.6516799926758,7.3356499671936,99.3462905883789,101.536567687988,85.6027069091797
216,1,Kenya,KEN,2006,-1,-1,48.7714500427246,50.6877708435059,-1,94.8505783081055,46.8591117858887,7.04983997344971,96.347541809082,97.8325271606445,-1
217,2,Kenya,KEN,2007,-1,-1,50.7726707458496,54.4201698303223,-1,101.510322570801,47.1313018798828,-1,102.365493774414,103.212959289551,-1
218,3,Kenya,KEN,2008,-1,-1,56.5935211181641,59.3309516906738,-1,101.154037475586,53.8584594726563,-1,102.284797668457,103.404220581055,-1
219,4,Kenya,KEN,2009,-1,3.99340009689331,56.760368347168,59.8581085205078,-1,102.748573303223,53.6618194580078,-1,103.914497375488,105.067558288574,-1
220,5,Kenya,KEN,2010,-1,-1,-1,-1,-1,-1,-1,5.50822019577026,-1,-1,-1
221,6,Kenya,KEN,2011,-1,-1,-1,-1,-1,-1,-1,5.33528995513916,-1,-1,-1
222,7,Kenya,KEN,2012,-1,-1,-1,-1,-1,109.870643615723,-1,5.50903987884521,109.41773223877,108.971221923828,-1
223,8,Kenya,KEN,2013,-1,-1,-1,-1,-1,-1,-1,5.41137981414795,-1,-1,-1
224,9,Kenya,KEN,2014,97.2009963989258,-1,-1,-1,96.5178909301758,106.145362854004,-1,5.28021001815796,105.753410339355,105.367691040039,97.8931503295898
225,10,Kenya,KEN,2015,99.1434020996094,9.22955989837646,-1,-1,98.6492767333984,103.63395690918,-1,5.27133989334106,103.661567687988,103.688743591309,99.6445693969727
226,11,Kenya,KEN,2016,99.6787414550781,11.4267301559448,-1,-1,99.2790298461914,103.397743225098,-1,5.36266994476318,103.205337524414,103.016166687012,100.084617614746
227,12,Kenya,KEN,2017,-1,11.4647102355957,-1,-1,-1,-1,-1,5.36668014526367,-1,-1,-1
228,13,Kenya,KEN,2018,-1,-1,-1,-1,-1,-1,-1,5.30625009536743,-1,-1,-1
229,14,Kenya,KEN,2019,-1,10.0383996963501,-1,-1,-1,-1,-1,4.97439002990723,-1,-1,-1
230,15,Kenya,KEN,2020,-1,-1,-1,-1,-1,-1,-1,5.07996988296509,-1,-1,-1
231,16,United States,USA,2005,-1,80.6348266601563,95.0524826049805,94.2021102905273,-1,101.310600280762,95.9484786987305,-1,101.8740234375,102.411376953125,-1
232,17,United States,USA,2006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
233,18,United States,USA,2007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
234,19,United States,USA,2008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
235,20,United States,USA,2009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
236,21,United States,USA,2010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
237,22,United States,USA,2011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
238,23,United States,USA,2012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
239,24,United States,USA,2013,-1,88.7264175415039,96.1864929199219,96.0696334838867,-1,99.0333786010742,96.3090591430664,-1,99.455436706543,99.859748840332,-1
240,25,United States,USA,2014,-1,88.6268692016602,96.9245376586914,96.3625335693359,-1,99.502082824707,97.5130462646484,-1,99.6733779907227,99.8374404907227,-1
241,26,United States,USA,2015,-1,88.8894119262695,97.6525497436523,97.1537170410156,-1,100.287261962891,98.1735763549805,-1,100.299911499023,100.312042236328,-1
242,27,United States,USA,2016,-1,88.8350524902344,98.7699279785156,99.0528335571289,-1,101.276412963867,98.4747085571289,-1,101.362861633301,101.445777893066,-1
243,28,United States,USA,2017,98.8321990966797,88.1673889160156,98.9523391723633,99.1985168457031,100.429466247559,101.421997070313,98.695556640625,-1,101.821441650391,102.204460144043,97.1660308837891
244,29,United States,USA,2018,100.092697143555,88.2991790771484,99.2755813598633,99.7356567382813,104.510192871094,101.19637298584,98.7960586547852,-1,101.256561279297,101.314239501953,95.4763412475586
245,30,United States,USA,2019,100.489051818848,87.8887100219727,100.063430786133,100.902122497559,97.7526397705078,101.343742370605,99.189453125,-1,100.981300354004,100.634078979492,103.343627929688
246,31,United States,USA,2020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
247,32,Canada,CAN,2005,-1,-1,101.391189575195,102.487060546875,-1,96.9387130737305,100.234382629395,4.76588010787964,97.3645706176758,97.7711868286133,-1
248,33,Canada,CAN,2006,-1,-1,101.728248596191,102.732360839844,-1,98.5098266601563,100.669502258301,-1,98.8806304931641,99.2344436645508,-1
249,34,Canada,CAN,2007,-1,63.6000595092773,101.90348815918,103.001899719238,-1,98.7211074829102,100.74836730957,4.7664098739624,98.9664764404297,99.2001876831055,-1
250,35,Canada,CAN,2008,-1,63.7673988342285,102.344436645508,103.525932312012,-1,97.9208602905273,101.104248046875,4.62612009048462,98.013313293457,98.1011810302734,-1
251,36,Canada,CAN,2009,-1,63.0657691955566,102.734443664551,103.908081054688,-1,99.0851287841797,101.503608703613,4.84057998657227,99.0087966918945,98.936393737793,-1
252,37,Canada,CAN,2010,-1,61.6558494567871,102.398483276367,103.582977294922,-1,98.9050598144531,101.156692504883,5.356369972229,98.6416015625,98.3922424316406,-1
253,38,Canada,CAN,2011,-1,63.4673194885254,103.348960876465,104.380767822266,-1,98.548828125,102.266876220703,5.26205015182495,98.1893692016602,97.8499298095703,-1
254,39,Canada,CAN,2012,-1,63.980770111084,109.987487792969,110.112503051758,-1,100.06697845459,109.856071472168,-1,99.5182800292969,99.0009078979492,-1
255,40,Canada,CAN,2013,-1,65.3322982788086,109.485992431641,109.363327026367,-1,100.913726806641,109.61531829834,-1,100.340713500977,99.8001480102539,-1
256,41,Canada,CAN,2014,-1,65.612907409668,109.333099365234,109.032302856445,-1,102.158683776855,109.651222229004,-1,101.536659240723,100.948692321777,-1
257,42,Canada,CAN,2015,-1,64.7869567871094,110.35652923584,109.883949279785,-1,102.907958984375,110.857620239258,-1,102.485076904297,102.08415222168,-1
258,43,Canada,CAN,2016,-1,66.4391784667969,112.514282226563,111.693092346191,-1,101.068466186523,113.386459350586,-1,101.023872375488,100.981452941895,-1
259,44,Canada,CAN,2017,-1,68.9225082397461,113.76286315918,113.046676635742,-1,100.819137573242,114.520637512207,-1,100.94367980957,101.062438964844,-1
260,45,Canada,CAN,2018,-1,70.1130218505859,114.123512268066,113.531532287598,-1,101.275398254395,114.747680664063,-1,101.501091003418,101.716621398926,-1
