health_key,health_id,country,iso,year,Risk of catastrophic expenditure for surgical care (% of people at risk),"Immunization, BCG (% of one-year-old children)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",Antiretroviral therapy coverage (% of people living with HIV),Lifetime risk of maternal death (%),"Nurses and midwives (per 1,000 people)","Physicians (per 1,000 people)","Incidence of malaria (per 1,000 population at risk)","Immunization, Hib3 (% of children ages 12-23 months)",Adults (ages 15+) and children (0-14 years) living with HIV,"Prevalence of overweight, female (% of female adults)","Mortality rate, adult, female (per 1,000 female adults)","Maternal mortality ratio (national estimate, per 100,000 live births)",AIDS estimated deaths (UNAIDS estimates),"Immunization, HepB3 (% of one-year-old children)",Low-birthweight babies (% of births),Prevalence of anemia among children (% of children ages 6-59 months),"Mortality rate, adult, male (per 1,000 male adults)","Immunization, Pol3 (% of one-year-old children)","Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Tuberculosis death rate (per 100,000 people)",Adults (ages 15-49) newly infected with HIV,"Prevalence of overweight, male (% of male adults)","Hospital beds (per 1,000 people)",Newborns protected against tetanus (%),Prevalence of undernourishment (% of population),"Immunization, DPT (% of children ages 12-23 months)","Incidence of tuberculosis (per 100,000 people)","Mortality rate, infant (per 1,000 live births)",Births attended by skilled health staff (% of total),Domestic general government health expenditure (% of GDP),Tuberculosis treatment success rate (% of new cases),"Immunization, measles (% of children ages 12-23 months)"
135,0,Kenya,KEN,2005,60.2,85,22.2,4,2.95788757463242,-1,-1,127.308125945037,76,1400000,26,372.515,-1,110000,76,12.24619,46.9,432.725,70,4.02,77,59000,12.5,-1,73,28.5,76,630,48,-1,1.48269117,81,69
136,1,Kenya,KEN,2006,54.6,92,22.3,9,2.77944497600631,-1,-1,100.052673323216,80,1400000,26.7,345.727,-1,100000,80,12.18654,45.3,402.479,77,3.84,78,58000,12.8,1.4,74,26.1,80,646,45.7,-1,1.45845628,83,77
137,2,Kenya,KEN,2007,49.5,92,22.7,13,2.60044345863232,-1,-1,78.0197423991887,81,1400000,27.4,318.939,-1,86000,81,12.115416,43.7,372.234,76,3.59,81,56000,13.1,-1,74,26.9,81,618,43.7,-1,1.55638492,83,80
138,3,Kenya,KEN,2008,47.7,98,22.7,18,2.43283960474894,0.3537,0.1664,67.6750623944762,88,1400000,28.2,294.401,-1,74000,88,12.043049,42,354.166,88,3.45,78,56000,13.4,-1,78,26.6,88,564,41.4,-1,1.63804531,84,90
139,4,Kenya,KEN,2009,45.3,99,22.4,25,2.21745886675819,0.3899,0.1686,67.9407051983387,88,1400000,28.9,269.863,724,62000,88,11.955961,40.7,336.098,89,3.27,80,55000,13.7,-1,78,24.1,88,566,40.4,43.8,1.68060637,84,88
140,5,Kenya,KEN,2010,43.6,99,22.2,31,2.00088770030527,0.7061,0.1696,67.7103660744612,90,1400000,29.6,245.325,-1,53000,90,11.8744049999999,39.9,318.03,90,3.06,79,53000,14,1.4,78,24.2,90,531,39.3,-1,1.77154577,86,86
141,6,Kenya,KEN,2011,42.2,99,22.1,39,1.80929928766685,-1,0.1748,67.8643447271046,96,1400000,30.4,220.788,-1,46000,96,11.7890669999999,39.4,299.962,97,2.79,77,49000,14.3,-1,73,23.9,96,506,38.5,-1,1.79380906,87,87
142,7,Kenya,KEN,2012,41.1,97,22,43,1.65887072149755,-1,0.1825,73.3558982496385,94,1400000,31.2,196.25,-1,40000,94,11.6989699999999,39.3,281.894,94,2.54,74,46000,14.7,-1,73,24.9,94,471,38.2,-1,1.81927824,86,93
143,8,Kenya,KEN,2013,41.3,92,21.9,47,1.57131905273998,0.8851,0.1907,82.4837687779605,93,1400000,31.9,191.875,-1,37000,93,11.615205,39.3,275.96,94,2.36,70,45000,15,-1,73,22.1,87,443,37.4,-1,1.85911059,86,94
144,9,Kenya,KEN,2014,39.3,94,21.5,54,1.49706223835255,0.9274,0.1959,83.866182364679,92,1400000,32.7,187.5,377,35000,92,11.538722,39.7,270.025,93,2.17,69,42000,15.4,-1,76,20.9,92,423,36.4,61.8,2.04217196,87,95
