month_key,month_id,name,quarter,year,decade
1,2005_January,January,1,2005,2000
2,2005_February,February,1,2005,2000
3,2005_March,March,1,2005,2000
4,2005_April,April,2,2005,2000
5,2005_May,May,2,2005,2000
6,2005_June,June,2,2005,2000
7,2005_July,July,3,2005,2000
8,2005_August,August,3,2005,2000
9,2005_September,September,3,2005,2000
10,2005_October,October,4,2005,2000
11,2005_November,November,4,2005,2000
12,2005_December,December,4,2005,2000
13,2006_January,January,1,2006,2000
14,2006_February,February,1,2006,2000
15,2006_March,March,1,2006,2000
16,2006_April,April,2,2006,2000
17,2006_May,May,2,2006,2000
18,2006_June,June,2,2006,2000
19,2006_July,July,3,2006,2000
20,2006_August,August,3,2006,2000
21,2006_September,September,3,2006,2000
22,2006_October,October,4,2006,2000
23,2006_November,November,4,2006,2000
24,2006_December,December,4,2006,2000
25,2007_January,January,1,2007,2000
26,2007_February,February,1,2007,2000
27,2007_March,March,1,2007,2000
28,2007_April,April,2,2007,2000
29,2007_May,May,2,2007,2000
30,2007_June,June,2,2007,2000
31,2007_July,July,3,2007,2000
32,2007_August,August,3,2007,2000
33,2007_September,September,3,2007,2000
34,2007_October,October,4,2007,2000
35,2007_November,November,4,2007,2000
36,2007_December,December,4,2007,2000
37,2008_January,January,1,2008,2000
38,2008_February,February,1,2008,2000
39,2008_March,March,1,2008,2000
40,2008_April,April,2,2008,2000
41,2008_May,May,2,2008,2000
42,2008_June,June,2,2008,2000
43,2008_July,July,3,2008,2000
44,2008_August,August,3,2008,2000
45,2008_September,September,3,2008,2000
46,2008_October,October,4,2008,2000
47,2008_November,November,4,2008,2000
48,2008_December,December,4,2008,2000
49,2009_January,January,1,2009,2000
50,2009_February,February,1,2009,2000
51,2009_March,March,1,2009,2000
52,2009_April,April,2,2009,2000
53,2009_May,May,2,2009,2000
54,2009_June,June,2,2009,2000
55,2009_July,July,3,2009,2000
56,2009_August,August,3,2009,2000
57,2009_September,September,3,2009,2000
58,2009_October,October,4,2009,2000
59,2009_November,November,4,2009,2000
60,2009_December,December,4,2009,2000
61,2010_January,January,1,2010,2010
62,2010_February,February,1,2010,2010
63,2010_March,March,1,2010,2010
64,2010_April,April,2,2010,2010
65,2010_May,May,2,2010,2010
66,2010_June,June,2,2010,2010
67,2010_July,July,3,2010,2010
68,2010_August,August,3,2010,2010
69,2010_September,September,3,2010,2010
70,2010_October,October,4,2010,2010
71,2010_November,November,4,2010,2010
72,2010_December,December,4,2010,2010
73,2011_January,January,1,2011,2010
74,2011_February,February,1,2011,2010
75,2011_March,March,1,2011,2010
76,2011_April,April,2,2011,2010
77,2011_May,May,2,2011,2010
78,2011_June,June,2,2011,2010
79,2011_July,July,3,2011,2010
