qol_key,qol_id,country,iso,year,"Unemployment, total (% of total labor force)",People using safely managed drinking water services (% of population),"Unemployment, male (% of male labor force)",Maternal leave benefits (% of wages paid in covered period),People using at least basic sanitation services (% of population),People using safely managed sanitation services (% of population),Prevalence of hypertension (% of adults ages 30-79),Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),"Unemployment, female (% of female labor force)",Treatment for hypertension (% of adults ages 30-79 with hypertension),People using at least basic drinking water services (% of population),Risk of impoverishing expenditure for surgical care (% of people at risk)
405,0,Kenya,KEN,2005,2.924000025,-1,2.693000078,-1,31.29814186,-1,37.1,5.547819614,3.161999941,9.6,51.02456418,59.5
406,1,Kenya,KEN,2006,2.907000065,-1,2.680999994,-1,31.41057218,-1,37.3,-1,3.140000105,10,51.76219866,59
407,2,Kenya,KEN,2007,2.891000032,-1,2.670000076,-1,31.52040505,-1,37.3,-1,3.119999886,10.4,52.49502118,55.6
408,3,Kenya,KEN,2008,2.915999889,-1,2.698999882,-1,31.62759601,-1,37.3,-1,3.140000105,10.8,53.22295134,56.4
409,4,Kenya,KEN,2009,2.884000063,-1,2.671999931,100,31.73199465,-1,37.3,-1,3.102999926,11.1,53.94504418,55.6
410,5,Kenya,KEN,2010,2.838999987,-1,2.632999897,-1,31.83365481,-1,37.1,-1,3.052999973,11.5,54.66210303,53.8
411,6,Kenya,KEN,2011,2.836999893,-1,2.635999918,100,31.932772,-1,36.8,-1,3.046999931,11.9,55.37612789,52.7
412,7,Kenya,KEN,2012,2.83100009,-1,2.634000063,-1,32.02923088,-1,36.5,-1,3.036000013,12.4,56.08651459,51
413,8,Kenya,KEN,2013,2.808000088,-1,2.617000103,100,32.12306456,-1,36.1,-1,3.007999897,12.8,56.79390352,50.7
414,9,Kenya,KEN,2014,2.795000076,-1,2.608999968,-1,32.21411259,-1,35.7,-1,2.99000001,13.3,57.49730086,49
415,10,Kenya,KEN,2015,2.77699995,-1,2.595999956,100,32.30235103,-1,35.2,5.051606655,2.967000008,13.7,58.19692798,43.4
416,11,Kenya,KEN,2016,2.75999999,-1,2.584000111,-1,32.38771068,-1,34.7,-1,2.944999933,14.2,58.89260448,41.1
417,12,Kenya,KEN,2017,3.513000011,-1,3.315999985,100,32.47011972,-1,34.2,-1,3.717000008,14.7,59.58415166,39.3
418,13,Kenya,KEN,2018,4.249000072,-1,4.032999992,-1,32.54954127,-1,33.7,-1,4.47300005,15.2,60.27174819,39.2
419,14,Kenya,KEN,2019,5.010000229,-1,4.772999763,-1,32.62581333,-1,33.2,-1,5.251999855,15.8,60.95447666,36.9
420,15,Kenya,KEN,2020,5.729000092,-1,5.477000237,-1,32.69894486,-1,-1,-1,5.989999771,-1,61.63289158,36.4
421,16,United States,USA,2005,5.079999924,95.23581292,5.065999985,-1,99.8817868,97.8283804,31.7,5.667433739,5.096000195,70.7,98.8536874,0.2
422,17,United States,USA,2006,4.619999886,95.24582727,4.614999771,-1,99.88154042,97.89264968,31.8,5.417470455,4.625,71.4,98.86083682,0.2
423,18,United States,USA,2007,4.619999886,95.2557833,4.724999905,-1,99.88129549,97.95699817,31.8,-1,4.495999813,72,98.86794461,0.2
424,19,United States,USA,2008,5.78000021,95.2656829,6.092999935,-1,99.8810546,98.02142764,31.9,4.559028625,5.414000034,72.4,98.87501291,0.2
425,20,United States,USA,2009,9.25,95.27552413,10.27600002,-1,99.88081511,98.08593485,31.9,4.695736408,8.059000015,72.7,98.88203953,0.2
426,21,United States,USA,2010,9.630000114,95.46778236,10.50800037,-1,99.86076619,98.13517396,31.9,-1,8.609999657,72.9,98.97895208,0.2
427,22,United States,USA,2011,8.949999809,95.65914859,9.37100029,-1,99.84103269,98.18494766,31.8,4.723805428,8.461000443,72.9,99.07488707,0.2
428,23,United States,USA,2012,8.069999695,95.84939996,8.227000237,-1,99.82162867,98.2352578,31.8,4.994931221,7.887000084,72.8,99.16968809,0.2
429,24,United States,USA,2013,7.369999886,96.03857024,7.627999783,-1,99.80256859,98.28612717,31.7,4.772599697,7.068999767,72.6,99.26337949,0.2
430,25,United States,USA,2014,6.170000076,96.22654489,6.262000084,-1,99.78386084,98.33755989,31.7,4.896913528,6.061999798,72.3,99.35588121,0.2
431,26,United States,USA,2015,5.28000021,96.41326821,5.367000103,-1,99.7655241,98.32452877,31.6,4.398305893,5.177999973,71.8,99.44715776,0.2
432,27,United States,USA,2016,4.869999886,96.59863984,4.93900013,-1,99.74755356,98.31176198,31.6,4.467355728,4.789000034,71.3,99.53713865,0.2
433,28,United States,USA,2017,4.360000134,96.78265168,4.40199995,-1,99.72996764,98.29928582,31.6,-1,4.311999798,70.7,99.62581578,0.2
434,29,United States,USA,2018,3.900000095,96.96518791,3.950999975,-1,99.71277377,98.28709462,31.6,-1,3.84100008,70.1,99.71312112,0.2
435,30,United States,USA,2019,3.670000076,97.14624349,3.720999956,-1,99.69599445,98.27522266,31.6,4.305150032,3.611000061,69.5,99.79904438,0.2
436,31,United States,USA,2020,8.050000191,97.32571774,7.796000004,-1,99.67961928,98.26364733,-1,-1,8.345000267,-1,99.88352668,0.2
437,32,Canada,CAN,2005,6.760000229,98.24079534,7.017000198,-1,99.80519484,78.8857635,26.2,3.700000048,6.46600008,66.1,99.23464422,0
438,33,Canada,CAN,2006,6.320000172,98.29946776,6.521999836,-1,99.75033789,79.28068911,25.9,4,6.092000008,67.7,99.23461957,0
439,34,Canada,CAN,2007,6.039999962,98.35997369,6.383999825,-1,99.69595411,79.67517216,25.6,4,5.652999878,69.1,99.23549716,0
440,35,Canada,CAN,2008,6.139999866,98.41990954,6.572000027,-1,99.6414571,80.06894984,25.2,4.300000191,5.65199995,70.3,99.23607708,0
441,36,Canada,CAN,2009,8.340000153,98.47926264,9.532999992,40,99.5868457,80.46202275,24.9,4.400000095,7.005000114,71.2,99.23635504,0
442,37,Canada,CAN,2010,8.06000042,98.53806358,8.793999672,-1,99.53213067,80.85439848,24.6,-1,7.243000031,72.1,99.23634886,0
443,38,Canada,CAN,2011,7.510000229,98.59599042,7.959000111,35,99.47721571,81.24600912,24.3,-1,7.008999825,72.7,99.23589396,0
444,39,Canada,CAN,2012,7.289999962,98.65168006,7.71600008,-1,99.42171918,81.636549,24,-1,6.816999912,73.2,99.23432608,0
445,40,Canada,CAN,2013,7.070000172,98.70725106,7.497000217,37,99.36619078,82.02636889,23.7,-1,6.597000122,73.5,99.23268617,0
446,41,Canada,CAN,2014,6.909999847,98.76270793,7.377999783,-1,99.31064352,82.41547978,23.4,3.5,6.388999939,73.7,99.23098502,0
447,42,Canada,CAN,2015,6.909999847,98.81806216,7.461999893,55,99.25507123,82.80387768,23.1,3.299999952,6.291999817,73.7,99.22922139,0
448,43,Canada,CAN,2016,7,98.87330686,7.681000233,-1,99.19947682,83.1915656,22.9,3.400000095,6.241000175,73.7,99.22739547,0
449,44,Canada,CAN,2017,6.340000153,98.92850562,6.781000137,55,99.14388406,83.5785755,22.6,3.799999952,5.850999832,73.6,99.22553764,0
450,45,Canada,CAN,2018,5.829999924,98.98362633,6.138999939,-1,99.08828896,83.97367373,22.4,-1,5.488999844,73.5,99.22363119,0
451,46,Canada,CAN,2019,5.659999847,99.03861451,6.03000021,-1,99.03268117,84.36813002,22.1,3.5,5.25,73.3,99.22164984,0
452,47,Canada,CAN,2020,9.460000038,99.03894727,9.526000023,-1,99.03286158,84.36839322,-1,-1,9.38599968,-1,99.22181066,0
453,48,Mexico,MEX,2005,3.559999943,40.35948897,3.368000031,-1,81.27377788,23.87717464,34.9,-1,3.90899992,34.9,93.09668937,9.3
454,49,Mexico,MEX,2006,3.569999933,40.5640574,3.388999939,-1,82.07830717,25.87350566,35,-1,3.890000105,36.2,93.71099729,8
455,50,Mexico,MEX,2007,3.630000114,40.76641554,3.41899991,-1,82.87293106,27.90436423,35,-1,4,37.5,94.32032157,8.2
456,51,Mexico,MEX,2008,3.869999886,40.96669575,3.779000044,-1,83.65830449,29.96951033,35.1,3.586420059,4.028999805,38.7,94.90809059,9.3
457,52,Mexico,MEX,2009,5.360000134,41.16482643,5.363999844,100,84.43419231,32.0685671,35.1,-1,5.354000092,40,95.36710258,9.7
458,53,Mexico,MEX,2010,5.300000191,41.36089371,5.369999886,-1,85.20102819,34.20129298,35,-1,5.179999828,41.2,95.82133427,7.2
459,54,Mexico,MEX,2011,5.170000076,41.55507773,5.191999912,100,85.95971004,36.3676703,34.9,-1,5.131999969,42.4,96.27120298,6.9
460,55,Mexico,MEX,2012,4.889999866,41.74726437,4.894000053,-1,86.70980432,38.56730401,34.6,2.507925987,4.883999825,43.6,96.71644433,8.1
461,56,Mexico,MEX,2013,4.909999847,41.93753836,4.883999825,100,87.45178303,40.80011597,34.3,-1,4.953999996,44.7,97.15725463,8.2
462,57,Mexico,MEX,2014,4.809999943,42.12589627,4.788000107,-1,88.18573213,43.06591674,33.9,2.612366438,4.84800005,45.7,97.5936259,8.3
463,58,Mexico,MEX,2015,4.309999943,42.31228861,4.228000164,100,88.91148404,45.36435171,33.6,-1,4.447000027,46.6,98.02544354,8.1
464,59,Mexico,MEX,2016,3.859999895,42.49678317,3.829999924,-1,89.62944687,47.69541008,33.2,1.551090598,3.910000086,47.5,98.45286453,5.9
465,60,Mexico,MEX,2017,3.420000076,42.67933349,3.312000036,100,90.33947554,50.0587208,32.8,-1,3.601999998,48.3,98.87578129,5.5
466,61,Mexico,MEX,2018,3.279999971,42.84912192,3.188999891,-1,91.04184497,52.45421467,32.4,-1,3.428999901,49.1,99.26913243,5
467,62,Mexico,MEX,2019,3.480000019,42.93896105,3.457000017,-1,91.73666093,54.88172246,32.1,-1,3.51699996,49.9,99.47726394,5
468,63,Mexico,MEX,2020,4.449999809,43.02628491,4.666999817,-1,92.42406261,57.34110284,-1,-1,4.097000122,-1,99.67956828,5.2
469,64,"Venezuela, RB",VEN,2005,10.65999985,-1,10.03999996,-1,92.52921749,21.81022469,39.1,-1,11.63899994,45,96.34222361,18.3
470,65,"Venezuela, RB",VEN,2006,8.609999657,-1,8.112000465,-1,92.87647265,21.56402461,39.3,-1,9.392999649,46.6,96.16512875,10.2
471,66,"Venezuela, RB",VEN,2007,7.28000021,-1,7.046000004,-1,93.22634408,21.31946637,39.4,-1,7.645999908,48.2,95.98803389,8.8
472,67,"Venezuela, RB",VEN,2008,6.25,-1,6.265999794,-1,93.57886144,21.07656859,39.5,-1,6.225999832,49.8,95.81093903,8.8
473,68,"Venezuela, RB",VEN,2009,6.099999905,-1,6.186999798,100,93.76129686,20.72693561,39.6,-1,5.967000008,51.4,95.63384417,9.5
474,69,"Venezuela, RB",VEN,2010,7.110000134,-1,7.21600008,-1,93.9429581,20.93963143,39.7,-1,6.946000099,52.9,95.45674931,9.6
475,70,"Venezuela, RB",VEN,2011,6.900000095,-1,6.698999882,100,94.12461933,21.15232725,39.7,-1,7.209000111,54.4,95.27965445,9
476,71,"Venezuela, RB",VEN,2012,6.599999905,-1,6.267000198,-1,94.30628056,21.36502306,39.7,-1,7.105999947,55.8,95.10255959,8.5
477,72,"Venezuela, RB",VEN,2013,7.539999962,-1,6.828000069,100,94.4879418,21.57771888,39.7,-1,8.597999573,57.1,94.92546473,8.2
478,73,"Venezuela, RB",VEN,2014,6.863999844,-1,6.366000175,-1,94.66960303,21.7904147,39.7,-1,7.609000206,58.2,94.74836987,8.9
479,74,"Venezuela, RB",VEN,2015,6.079999924,-1,5.800000191,100,94.85126426,22.00311052,39.6,-1,6.501999855,59.3,94.57127501,9.1
480,75,"Venezuela, RB",VEN,2016,5.320000172,-1,5.260000229,-1,95.0329255,22.21580634,39.5,-1,5.409999847,60.3,94.39418015,9.3
481,76,"Venezuela, RB",VEN,2017,5.050000191,-1,4.524000168,100,95.21458673,22.42850216,39.5,-1,5.870999813,61.3,94.21708529,10.1
482,77,"Venezuela, RB",VEN,2018,5.021999836,-1,4.505000114,-1,95.39624796,22.64119797,39.5,-1,5.866000175,62.2,94.03999043,10.6
483,78,"Venezuela, RB",VEN,2019,5.096000195,-1,4.605000019,-1,95.5779092,22.85389379,39.4,-1,5.998000145,63,93.86289557,11.4
484,79,"Venezuela, RB",VEN,2020,6.626999855,-1,6.071000099,-1,95.75957043,23.06658961,-1,-1,7.656000137,-1,93.68580071,11.5
485,80,Australia,AUS,2005,5.03000021,-1,4.877999783,-1,99.99115238,59.75580652,29.7,-1,5.217999935,51.9,99.77814769,0
486,81,Australia,AUS,2006,4.78000021,-1,4.668000221,-1,99.99115238,60.72271904,29.7,-1,4.918000221,52.8,99.79977738,0
487,82,Australia,AUS,2007,4.380000114,-1,4.046999931,-1,99.99115238,61.68963157,29.6,-1,4.788000107,53.4,99.82125589,0
488,83,Australia,AUS,2008,4.230000019,-1,3.95600009,-1,99.99115238,62.65654409,29.5,-1,4.565000057,53.9,99.84255603,0.1
489,84,Australia,AUS,2009,5.559999943,-1,5.690999985,-1,99.99115238,63.62345662,29.5,2.333399773,5.401000023,54.1,99.86367093,0.1
490,85,Australia,AUS,2010,5.210000038,-1,5.070000172,-1,99.99115238,64.59036915,29.5,-1,5.380000114,54.1,99.88315015,0.1
491,86,Australia,AUS,2011,5.079999924,-1,4.894000053,-1,99.99115238,65.55728167,29.4,-1,5.304999828,54,99.89196863,0.1
492,87,Australia,AUS,2012,5.21999979,-1,5.133999825,-1,99.99115238,66.5241942,29.4,-1,5.323999882,53.7,99.90076728,0.1
493,88,Australia,AUS,2013,5.659999847,-1,5.705999851,-1,99.99115238,67.49110673,29.3,-1,5.605999947,53.2,99.90958842,0.1
494,89,Australia,AUS,2014,6.079999924,-1,6.001999855,-1,99.99115238,68.45801925,29.3,-1,6.171999931,52.5,99.9614791,0
495,90,Australia,AUS,2015,6.050000191,-1,6.035999775,-1,99.99115238,69.42493178,29.3,2.46650815,6.065999985,51.7,99.97000567,0
496,91,Australia,AUS,2016,5.710000038,-1,5.650000095,-1,99.99115238,70.39184431,29.3,-1,5.78000021,50.9,99.96997302,0
497,92,Australia,AUS,2017,5.590000153,-1,5.519999981,-1,99.99115238,71.35875683,29.2,-1,5.670000076,49.9,99.9699336,0
498,93,Australia,AUS,2018,5.300000191,-1,5.281000137,-1,99.99115238,72.32566936,29.2,-1,5.321000099,48.9,99.96989482,0
499,94,Australia,AUS,2019,5.159999847,-1,5.210999966,-1,99.99115238,73.29258189,29.3,-1,5.100999832,48,99.96985563,0
500,95,Australia,AUS,2020,6.460000038,-1,6.553999901,-1,99.99115238,74.25949441,-1,-1,6.354000092,-1,99.96981182,0
501,96,Germany,DEU,2005,11.17000008,99.84634449,11.39599991,-1,99.2211727,96.02317376,37.4,-1,10.89500046,52.3,100,0
502,97,Germany,DEU,2006,10.25,99.85762525,10.31400013,-1,99.2217707,96.11381657,36.8,-1,10.17399979,53.8,99.9999976,0
503,98,Germany,DEU,2007,8.659999847,99.8689132,8.545999527,-1,99.22237587,96.20450442,36.2,-1,8.795999527,55.2,100.0000024,0
